Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Greece,GRC,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960
Greenland,GRL,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450
Grenada,GRD,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340
Guam,GUM,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540
Guatemala,GTM,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890
Guinea,GIN,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860
Guinea-Bissau,GNB,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130
Guyana,GUY,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970
Haiti,HTI,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750
Honduras,HND,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490
"Hong Kong SAR, China",HKG,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1105,1105,1105,1105
Hungary,HUN,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030
Iceland,ISL,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000
India,IND,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287259,3287259,3287259,3287259
Indonesia,IDN,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910931,1910931,1910931,1910931
"Iran, Islamic Rep.",IRN,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150
Iraq,IRQ,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,435240,435240,435240,435050,435050,435050,435050,435050,435050
Ireland,IRL,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280
Isle of Man,IMN,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570
Israel,ISR,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070
Italy,ITA,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340
Jamaica,JAM,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990
Japan,JPN,377800,377800,377800,377800,377800,377800,377800,377800,377800,377800,377800,377800,377800,377800,377800,377800,377800,377800,377940,377947,377950,377955,377960,377962,377962,377962,377962,377962
Jordan,JOR,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,89320,89320,89320,89320,89320,89320,89320,89320,89320
Kazakhstan,KAZ,2724900,2724900,2724900,2724900,2724900,2724900,2724900,2724900,2724900,2724900,2724902,2724902,2724902,2724902,2724902,2724902,2724902,2724902,2724902,2724902,2724902,2724902,2724902,2724902,2724902,2724902,2724902,2724902
Kenya,KEN,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370
Kiribati,KIR,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810
"Korea, Dem. People’s Rep.",PRK,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540
"Korea, Rep.",KOR,99260,99260,99260,99260,99260,99260,99260,99260,99260,99260,99260,99260,99260,99260,99260,99260,99260,99260,99830,99900,100030,100030,100150,100266,100280,100280,100280,100280
Kosovo,XKX,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887
Kuwait,KWT,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820
Kyrgyz Republic,KGZ,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199949,199949,199949,199949,199949,199949,199949,199949,199949
Lao PDR,LAO,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800
Latvia,LVA,64559,64559,64559,64559,64559,64559,64559,64559,64559,64559,64559,64559,64559,64559,64559,64559,64559,64559,64559,64560,64510,64480,64480,64490,64490,64490,64490,64490
Lebanon,LBN,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450
Lesotho,LSO,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360
Liberia,LBR,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370
Libya,LBY,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540
Liechtenstein,LIE,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160
Lithuania,LTU,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65286,65286,65286,65286
Luxembourg,LUX,2590,2590,2590,2590,2590,2590,2590,2590,2590,2590,2590,2590,2590,2590,2590,2590,2590,2590,2590,2590,2590,2590,2590,2590,2590,2590,2590,2590
"Macao SAR, China",MAC,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,29.2,29.5,29.7,29.9,29.9,30.3,30.3,30.3,30.3,30.3
"Macedonia, FYR",MKD,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710
Madagascar,MDG,587040,587040,587040,587040,587040,587040,587040,587040,587040,587040,587040,587040,587040,587040,587040,587040,587040,587040,587040,587040,587040,587295,587295,587295,587295,587295,587295,587295
Malawi,MWI,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480
Malaysia,MYS,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800
Maldives,MDV,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
Mali,MLI,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190
Malta,MLT,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320
Marshall Islands,MHL,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180
Mauritania,MRT,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700
Mauritius,MUS,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040
Mexico,MEX,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380
"Micronesia, Fed. Sts.",FSM,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700
Moldova,MDA,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33840,33840,33840,33840,33840,33840,33840,33840,33850,33850,33850,33850,33850,33850,33850,33850,33850,33850
Monaco,MCO,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Mongolia,MNG,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120
Montenegro,MNE,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810
Morocco,MAR,446550,446550,446550,446550,446550,446550,446550,446550,446550,446550,446550,446550,446550,446550,446550,446550,446550,446550,446550,446550,446550,446550,446550,446550,446550,446550,446550,446550
Mozambique,MOZ,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380
Myanmar,MMR,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590
Namibia,NAM,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290
Nauru,NRU,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Nepal,NPL,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180
Netherlands,NLD,41530,41530,41530,41530,41530,41530,41530,41530,41530,41530,41530,41530,41530,41530,41530,41530,41530,41530,41540,41540,41540,41540,41540,41540,41540,41540,41540,41540
New Caledonia,NCL,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580
New Zealand,NZL,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710
Nicaragua,NIC,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370
Niger,NER,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000
Nigeria,NGA,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770
Northern Mariana Islands,MNP,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460
