Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,
Burkina Faso,BFA,Land area (sq. km),AG.LND.TOTL.K2,,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,,
Bangladesh,BGD,Land area (sq. km),AG.LND.TOTL.K2,,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,,
Bulgaria,BGR,Land area (sq. km),AG.LND.TOTL.K2,,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,108800,108770,108760,108640,108630,108610,108610,108560,108560,108560,108560,108560,108560,,
Bahrain,BHR,Land area (sq. km),AG.LND.TOTL.K2,,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,710,710,710,710,710,710,710,710,710,710,710,720,730,740,740,750,760,760,762,767,770,770,770,,
Bahamas The,BHS,Land area (sq. km),AG.LND.TOTL.K2,,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,,
Bosnia and Herzegovina,BIH,Land area (sq. km),AG.LND.TOTL.K2,,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,,
Belarus,BLR,Land area (sq. km),AG.LND.TOTL.K2,,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202830,202830,202810,202830,202900,202900,202900,202820,202900,202910,202910,202910,202910,,
Belize,BLZ,Land area (sq. km),AG.LND.TOTL.K2,,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,,
Bermuda,BMU,Land area (sq. km),AG.LND.TOTL.K2,,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,,
Bolivia,BOL,Land area (sq. km),AG.LND.TOTL.K2,,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,,
Brazil,BRA,Land area (sq. km),AG.LND.TOTL.K2,,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,,
Barbados,BRB,Land area (sq. km),AG.LND.TOTL.K2,,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,,
Brunei Darussalam,BRN,Land area (sq. km),AG.LND.TOTL.K2,,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,,
Bhutan,BTN,Land area (sq. km),AG.LND.TOTL.K2,,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,46723,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,38117,38117,38117,38117,38117,38117,38117,38117,38117,38117,38117,,
Botswana,BWA,Land area (sq. km),AG.LND.TOTL.K2,,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,,
Central African Republic,CAF,Land area (sq. km),AG.LND.TOTL.K2,,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,,
Canada,CAN,Land area (sq. km),AG.LND.TOTL.K2,,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,,
Central Europe and the Baltics,CEB,Land area (sq. km),AG.LND.TOTL.K2,,1105986,1105966,1105976,1105976,1105966,1105956,1105946,1105936,1105936,1105926,1105916,1105916,1105916,1105916,1105916,1105896,1105906,1105916,1105866,1105856,1105846,1105836,1105826,1105826,1105826,1105826,1105826,1105816,1104826,1104826,1104936,1104936,1104926,1104976,1104956,1105056,1105006,1104996,1105006,1104936,1104936,1103266,1103276,1103436,1103286,1103256,1103146,1103131,1104115,1104156,1104182,1103992,1104003,1104003,,
Switzerland,CHE,Land area (sq. km),AG.LND.TOTL.K2,,39528,39528,39528,39528,39528,39528,39528,39528,39528,39528,39528,39528,39528,39528,39528,39528,39528,39528,39528,39528,39528,39528,39528,39529,39529,39529,39529,39529,39529,39529,39529,39529,39529,39529,39529,39528,39527,39526,39525,39524,39523,39522,39521,39520,39518,39517,39516,39516,39516,39516,39516,39516,39516,39516,,
Channel Islands,CHI,Land area (sq. km),AG.LND.TOTL.K2,,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,190,190,190,190,190,,
Chile,CHL,Land area (sq. km),AG.LND.TOTL.K2,,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,,
China,CHN,Land area (sq. km),AG.LND.TOTL.K2,,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388240,9388230,9388230,9388230,9388230,9388220,9388214.2,9388213.2,9388212.7,9388212.5,9388211.8,9388211.4,9388210.8,9388210.8,9388211,9388211,9388211,9388211,9388211,9388211,,
Cote d'Ivoire,CIV,Land area (sq. km),AG.LND.TOTL.K2,,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,,
Cameroon,CMR,Land area (sq. km),AG.LND.TOTL.K2,,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,,
Congo Rep.,COG,Land area (sq. km),AG.LND.TOTL.K2,,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,,
Colombia,COL,Land area (sq. km),AG.LND.TOTL.K2,,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,,
Comoros,COM,Land area (sq. km),AG.LND.TOTL.K2,,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,,
Cabo Verde,CPV,Land area (sq. km),AG.LND.TOTL.K2,,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,,
Costa Rica,CRI,Land area (sq. km),AG.LND.TOTL.K2,,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,,
Caribbean small states,CSS,Land area (sq. km),AG.LND.TOTL.K2,,404800,404800,404800,404800,404800,404800,404800,404800,404800,404800,404800,404800,404800,404800,404940,404940,404940,404940,404940,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,,
Cuba,CUB,Land area (sq. km),AG.LND.TOTL.K2,,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,106390,106400,106410,106440,106430,106440,106440,106440,106440,106440,106449,106449,106449,,
Curacao,CUW,Land area (sq. km),AG.LND.TOTL.K2,,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,,
Cayman Islands,CYM,Land area (sq. km),AG.LND.TOTL.K2,,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,,
Cyprus,CYP,Land area (sq. km),AG.LND.TOTL.K2,,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,,
Czech Republic,CZE,Land area (sq. km),AG.LND.TOTL.K2,,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77260,77260,77250,77250,77250,77250,77240,77240,77230,77230,77230,,
Germany,DEU,Land area (sq. km),AG.LND.TOTL.K2,,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349120,349110,349100,349090,349050,349020,348980,348950,348900,348860,348810,348770,348760,348720,348670,348630,348610,348570,348560,348540,348540,348540,,
Djibouti,DJI,Land area (sq. km),AG.LND.TOTL.K2,,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,,
Dominica,DMA,Land area (sq. km),AG.LND.TOTL.K2,,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,,
Denmark,DNK,Land area (sq. km),AG.LND.TOTL.K2,,42370,42370,42370,42370,42370,42370,42370,42370,42370,42370,42370,42370,42370,42370,42370,42370,42370,42370,42380,42380,42380,42380,42380,42380,42380,42380,42390,42390,42390,42390,42390,42430,42430,42430,42430,42430,42430,42430,42430,42430,42430,42430,42430,42430,42430,42430,42430,42430,42430,42430,42430,42430,42430,42430,,
Dominican Republic,DOM,Land area (sq. km),AG.LND.TOTL.K2,,48320,48320,48320,48320,48320,48320,48320,48320,48320,48320,48320,48320,48320,48320,48320,48320,48320,48320,48320,48320,48320,48320,48320,48320,48320,48320,48320,48320,48320,48320,48320,48320,48320,48320,48320,48320,48320,48320,48320,48320,48320,48320,48320,48320,48320,48320,48320,48320,48320,48320,48320,48320,48320,48320,,
Algeria,DZA,Land area (sq. km),AG.LND.TOTL.K2,,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,,
East Asia & Pacific (developing only),EAP,Land area (sq. km),AG.LND.TOTL.K2,,15928610,15928610,15928610,15928610,15928610,15928610,15928610,15928610,15928610,15928610,15928610,15928610,15928580,15928540,15928520,15928520,15928520,15928520,15928520,15928520,15928520,15928520,15928520,15928520,15928520,15928520,15928520,15928520,15928520,15928520,15929860,15929860,15929860,15929860,15929850,15929840,15929840,15929840,15929840,15915400,15915424.2,15914883.2,15914402.7,15914282.5,15914221.8,15914331.4,15914380.8,15914170.8,15914161,15914121,15914151,15914011,15913941,15913941,,
East Asia & Pacific (all income levels),EAS,Land area (sq. km),AG.LND.TOTL.K2,,24402250,24402250,24402250,24402250,24402250,24402250,24402250,24402250,24402250,24402250,24402250,24402150,24402120,24402080,24401950,24401950,24401840,24401840,24401840,24401740,24401840,24401630,24401630,24400130,24400030,24400130,24400030,24400030,24400030,24400030,24401830,24401830,24401830,24401830,24401880,24401770,24401770,24401770,24401770,24387330,24387640.2,24387155.2,24386696.7,24386599.5,24386568.8,24386714,24386805,24386710,24386770.5,24386912.7,24386949.9,24386936.9,24386984.3,24386984.3,,
Europe & Central Asia (developing only),ECA,Land area (sq. km),AG.LND.TOTL.K2,,6249254,6249254,6249254,6249254,6249254,6249254,6249254,6249254,6249254,6249254,6249254,6249254,6249254,6249254,6249254,6249254,6249254,6249254,6249254,6249254,6249254,6249254,6249254,6249254,6249254,6249254,6249254,6249254,6248264,6248264,6248374,6248574,6248654,6248694,6248664,6248694,6248694,6248619,6248232,6248222,6248221,6246545,6246619,6246669,6246587,6246604,6246256,6246254,6246269,6246333,6246465,6246325,6246356,6246356,,
Europe & Central Asia (all income levels),ECS,Land area (sq. km),AG.LND.TOTL.K2,,27358481,27358461,27358471,27358471,27358461,27358451,27358441,27358431,27358431,27358421,27358411,27358411,27358411,27358381,27358261,27358181,27358161,27358161,27358131,27358051,27358031,27358021,27357981,27357992,27357992,27357992,27358002,27357992,27357002,27357002,27357112,27357352,27353642,27348822,27345832,27345501,27414840,27417314,27424096,27449135,27447703,27447006,27447229,27447578,27447504,27443220,27442929,27441493,27442305,27443716,27443587,27440707,27440686,27440686,,
Ecuador,ECU,Land area (sq. km),AG.LND.TOTL.K2,,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,,
Egypt Arab Rep.,EGY,Land area (sq. km),AG.LND.TOTL.K2,,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,,
Euro area,EMU,Land area (sq. km),AG.LND.TOTL.K2,,2645872,2645872,2645872,2645872,2645872,2645872,2645872,2645872,2645872,2645872,2645872,2645872,2645872,2645842,2645722,2645662,2645632,2645622,2645632,2645562,2645552,2645552,2645522,2645532,2645532,2645532,2645532,2645532,2645532,2645532,2645532,2645532,2645522,2645512,2645502,2645492,2645452,2645422,2645382,2677782,2677252,2677732,2677892,2677812,2677672,2677042,2677100,2676556,2676453,2677814,2677603,2677883,2677841,2677841,,
Eritrea,ERI,Land area (sq. km),AG.LND.TOTL.K2,,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,,
Spain,ESP,Land area (sq. km),AG.LND.TOTL.K2,,499780,499780,499780,499780,499780,499780,499780,499780,499780,499780,499780,499780,499780,499750,499630,499570,499540,499530,499540,499470,499460,499460,499430,499440,499440,499440,499440,499440,499440,499440,499440,499440,499440,499440,499440,499440,499440,499440,499440,499000,498520,499040,499210,499180,499090,498980,499110,498800,498660,500010,499880,500210,500210,500210,,
